ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,TRIAGE_CALL_OUTCOME,STRATEGY_CALL_OUTCOME,OFFER_PRESENTED,CONTRACT_VALUE,CASH_COLLECTED,SETTER_USER_ID,CLOSER_USER_ID,PROGRAM,OBJECTIONS_FACED
acti_JCcrw3q5HOjYqRc0k5OeRdq60M2PajxF9EjXAdWuYa1,lead_fJ4gBdKwAsSzKZ4YdpkrcEbwi8bx0EbwmA03KOmykdq,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_oJ2RzdBDdutjziXuEplzlEo1Cg43AOBOzO2Eb1mlrDv,lead_fJ4gBdKwAsSzKZ4YdpkrcEbwi8bx0EbwmA03KOmykdq,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,Yes,,,user_fgkwC2PT4UGqc1MsWfEioweuVdBQGJHK0VdczqaFuTu,user_soMOELShUwInBclF7jO5Rn4PlcUILMrLo9arAgwngCk,,"[""Money""]"
acti_cv3gQnDKqkAdXfzvt6rgmQ7tX8I7kvKd1nz3hCjVrtn,lead_fJ4gBdKwAsSzKZ4YdpkrcEbwi8bx0EbwmA03KOmykdq,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_IdEO480TMTlmpVkOegIBdNlKaLeqzEJ8KXfAZen5Z4A,lead_fJ4gBdKwAsSzKZ4YdpkrcEbwi8bx0EbwmA03KOmykdq,actitype_38341SWOKRkRHHAqWEqSJu,1. Strategy Call Scheduled,,,,,user_fgkwC2PT4UGqc1MsWfEioweuVdBQGJHK0VdczqaFuTu,,,
acti_4Mi9IgKDgGsXpFzIZazgg5m1uTUKzFapTx2wvCBt7cu,lead_k6EtOyLHaY3PB7oqe4bEynFUJhb9d4gV9Hnqs0eaPF4,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_VVV62Hb7SHPZ7MjYTQZ4lnKf5okEhA9y4cp5yUPyy20,lead_k6EtOyLHaY3PB7oqe4bEynFUJhb9d4gV9Hnqs0eaPF4,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_Fa2xqE0wXtY9hoLUGsUUwddeX5wW7Qjiu2S4RKmbq9B,lead_GX1Ssg214EZwH7PCVfaBmcklie8jfsD77Fx5t3FtEDO,actitype_6ga7msjJ7kZcH2rGtYETwe,,,,,,,,,
acti_3Ke0OODhXZ9uhRkdVITwuzdxrLOhHdeni6IuTDdvg7z,lead_y6Dlm3uKRa6SnZy6sCPT7Uc2XwHiJn7aYPukRTTU7nj,actitype_3E85vFq3a06LlEzXT2N1kS,,,,,,,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,Gold,
acti_3aC4KKLtWJcMnr5eHMZZnbOt0tgPhE7eSScwUNplSui,lead_y6Dlm3uKRa6SnZy6sCPT7Uc2XwHiJn7aYPukRTTU7nj,actitype_2VcSfZQX6FeIL8kkxy48C2,,6. Sale,Yes,30000,,user_mrokNuNoTE6Z44kv7DzHfPrePPQFLe2tMKwJKaY4urL,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,Gold,"[""No Objections""]"
acti_5MSj97SwiWYODT9CrvxUIZKBdjvxWFQsV4oKSLXRgzy,lead_y6Dlm3uKRa6SnZy6sCPT7Uc2XwHiJn7aYPukRTTU7nj,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_g1rCncuamXGopAGmTxo7bztKf2gmrUZrJmff7ebQ8jJ,lead_y6Dlm3uKRa6SnZy6sCPT7Uc2XwHiJn7aYPukRTTU7nj,actitype_1HXYl1QAkZesVy3La8fY6z,,,,,,,,,
acti_fz7Jp3nDAeT5CmPtUIxuBIBkp4Sf6etNdiyM7S26042,lead_y6Dlm3uKRa6SnZy6sCPT7Uc2XwHiJn7aYPukRTTU7nj,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_JD6nl02dVFqkPOk4G2OB9gONkNOMX9LWBymRQTLqTxX,lead_6Lf71fmkjSRWkCCXmiy83U5utK3WD0rTn6Fg2oZ6ym1,actitype_6ga7msjJ7kZcH2rGtYETwe,,,,,,,,,
acti_tmPGceHFAv2uIUCqHlK1nKpTJyCkRpTMwmyk62KqOai,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_507oP5QyCYfuYwXJAwWHCJ,,,,,,,,,
acti_sbe6T6G4y8WblFKxEg7l2lLAkKF0ISBIzTCqKbCAXTT,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_BSr5ib17AtlfGm3D7mvyDbYIvTJgm4iuGRwQVEL1e9Z,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_3bvm3ENPUG8NT0owMJ6XDH,,,,,,,,,
acti_FEGN5ICgrCHXaDHsovOeUj4gmuc2uPJHifciVjqi8SY,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_3bvm3ENPUG8NT0owMJ6XDH,,,,,,,,,
acti_UmXkSYdjDGB1pOv8InOTmApTKN0vBTy6oCYGgtK8pFD,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_2VcSfZQX6FeIL8kkxy48C2,,6. Sale,Yes,20000,,user_T7WuGoDnkZ2v5PVzlKT4g60rcN82JTCvlU7ydK2yYGa,user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3,Gold,"[""No Objections""]"
